	HepG2	MDA_231
RA1.2019	0.828040107	1.437234399
RA2.2019	1.411109914	1.258591438
RA3.2019	1.694546625	1.406166058
RB1.2019	1.022396709	0.19450076
RB2.2019	0.220675725	0.493533542
RB3.2019	-0.119448328	0.396444976
RA1.2020	-0.929267504	-0.733665927
RA2.2020	-1.026445805	-0.698714044
RA3.2020	-0.799696436	-0.473468571
RB1.2020	-0.799696436	-0.892891175
RB2.2020	-0.848285587	-1.059883508
RB3.2020	-0.653928984	-1.327847948
